device_id,x,y,value
DEVICE_000,35,22,7.8217536813663555
DEVICE_001,16,63,4.065411743656343
DEVICE_002,47,31,1.5159434703585235
DEVICE_003,88,91,9.083974965061842
DEVICE_004,66,64,4.094004820133317
DEVICE_005,3,87,6.651713871138874
DEVICE_006,69,13,9.340848144893355
DEVICE_007,72,82,9.831409182879685
DEVICE_008,97,55,7.276981507678814
DEVICE_009,24,87,6.129629012597058
DEVICE_010,89,35,2.942310966368217
DEVICE_011,34,44,7.5694911265516724
DEVICE_012,84,67,2.4550217727385464
DEVICE_013,74,60,9.970754134628987
DEVICE_014,87,53,9.644597369328254
DEVICE_015,39,64,2.2075882879662547
DEVICE_016,84,10,7.646042283199131
DEVICE_017,66,59,1.2513375851641606
DEVICE_018,46,78,2.8007004829107194
DEVICE_019,79,65,8.780324015146574
DEVICE_020,6,25,9.723419074710579
DEVICE_021,69,9,7.771781036101206
DEVICE_022,80,5,0.18269016048195258
DEVICE_023,31,34,2.3580164096442258
DEVICE_024,8,9,3.515231617813183
DEVICE_025,32,80,7.854506360479247
DEVICE_026,16,94,1.8365791455133218
DEVICE_027,44,66,2.71981975444051
DEVICE_028,24,55,4.016319852796383
DEVICE_029,43,21,9.338702372496346
DEVICE_030,55,88,8.529661187557265
DEVICE_031,11,15,5.047300972307187
DEVICE_032,75,17,3.967433744192758
DEVICE_033,1,29,1.5749440510872856
DEVICE_034,67,23,6.440808944739499
DEVICE_035,62,90,6.257713050826576
DEVICE_036,87,86,6.913625171870404
DEVICE_037,53,60,9.397122056919912
DEVICE_038,24,5,8.379079834105642
DEVICE_039,63,12,1.9586160199681075
DEVICE_040,77,72,0.2510957434896012
DEVICE_041,28,74,4.8078078330938725
DEVICE_042,95,84,7.993823279006897
DEVICE_043,12,88,9.755248491037428
DEVICE_044,94,59,9.182963558480889
DEVICE_045,42,71,5.213868362678617
DEVICE_046,25,64,1.2584833411441023
DEVICE_047,86,9,2.729015203448833
DEVICE_048,93,34,0.9892384116682496
DEVICE_049,3,90,0.5068355155513762
