device_id,x,y,value
DEVICE_000,88,72,8.665811125670846
DEVICE_001,77,57,3.484327729696061
DEVICE_002,42,90,0.5241833399371342
DEVICE_003,26,71,9.395774553251442
DEVICE_004,52,10,0.9761805912765389
DEVICE_005,43,39,6.299604102206069
DEVICE_006,37,85,3.647290299673523
DEVICE_007,73,95,6.044043337062259
DEVICE_008,85,97,5.573077240493996
DEVICE_009,58,10,1.2435702584879484
DEVICE_010,87,79,4.650951106341325
DEVICE_011,95,65,1.3723980730577545
DEVICE_012,85,15,5.795850920197496
DEVICE_013,63,50,9.389809554809958
DEVICE_014,12,45,7.877058036744276
DEVICE_015,81,65,6.833679892809625
DEVICE_016,12,41,0.20183317414292323
DEVICE_017,40,60,7.06809423627996
DEVICE_018,88,52,8.62973962977005
DEVICE_019,37,29,5.501354331505009
DEVICE_020,47,89,6.688361220428095
DEVICE_021,95,26,7.748462958942021
DEVICE_022,16,13,3.7557425781351856
DEVICE_023,83,29,1.1571409483411805
DEVICE_024,38,26,0.16242389842768934
DEVICE_025,19,45,9.649474797517957
DEVICE_026,3,15,1.2093217581017293
DEVICE_027,8,98,2.6856981136730447
DEVICE_028,91,74,9.7231319237929
DEVICE_029,25,46,5.483164353573564
DEVICE_030,44,55,7.767807855164317
DEVICE_031,90,4,7.037464993386329
DEVICE_032,16,84,9.153107327976418
DEVICE_033,99,91,8.324794838125479
DEVICE_034,12,55,5.092251318062186
DEVICE_035,9,55,2.4294303260124877
DEVICE_036,23,56,1.5813347930801662
DEVICE_037,4,48,9.082420772679319
DEVICE_038,63,57,4.899299095609469
DEVICE_039,18,10,3.921457552073933
DEVICE_040,53,14,5.796508149377978
DEVICE_041,58,35,2.465261203913288
DEVICE_042,29,23,5.84618927697911
DEVICE_043,87,56,1.7477911221306048
DEVICE_044,9,77,5.266015057428675
DEVICE_045,89,59,4.6607518269012145
DEVICE_046,83,90,0.530165765638221
DEVICE_047,86,55,2.3188761884956075
DEVICE_048,57,12,3.0127400382645178
DEVICE_049,17,85,8.978099871332857
